"Address","DYCOL01","DYCOL02","DYCOL03","DYCOL04","DYCOL05","DYCOL06","DYCOL07","DYCOL08","DYCOL09","DYCOL10","DYCOL11","DYCOL12","DYCOL13","DYCOL14","DYCOL15"
10202027020,"01",1,5224,"47212",5,2,9,6,"00000030000000","00001500000000","0","00000075000000","0",2.055e+09,4.5e+08
10202027023,"01",1,7231,"45200",5,2,10,6,"0","00000150000000","00000030000000","00000045000000","00000002400000",707400000,4.8e+08
10219033413,"05",1,8322,"49220",5,2,7,6,"0","00000052000000","00000059800000","00000010170000","0",3.61e+08,239030000
10204028226,"01",2,5212,"47990",5,2,NA,NA,"0","00000700000000","00000001000000","00000025000000","0",9.34e+08,2.08e+08
10204028229,"01",1,5143,"96020",5,2,8,6,"0","0","0","00000037000000","0",1.8e+08,1.43e+08
10215032218,"01",1,5224,"47710",5,2,12,6,"0","00000800000000","0","00000012000000","0",1.76e+09,9.48e+08
10215032214,"01",1,2142,"41000",4,2,8,4,"0","00000084440000","00000008000000","00000014000000","0",664440000,5.58e+08
10220033829,"01",1,5224,"47520",5,2,8,7,"00000240000000","00000480000000","0","00000004200000","0",1.104e+09,379800000
10205028619,"01",2,8322,"49220",5,2,NA,NA,"0","00000007900000","00000005700000","00000008200000","0",3400000,-18400000
10206029029,"01",1,5224,"47212",5,2,10,7,"0","00000600000000","0","00000288000000","0",1.26e+09,3.72e+08
10206029029,"02",1,5224,"47212",6,2,10,6,NA,NA,NA,NA,NA,NA,0
10207029417,"01",1,3434,"56210",4,2,10,7,"00000481700000","00003450000000","00000099000000","00001260000000","00000035000000",5.83e+09,504300000
10207029417,"03",1,5230,"56210",6,2,7,5,NA,NA,NA,NA,NA,NA,0
10207029417,"04",1,2411,"56210",6,2,8,7,NA,NA,NA,NA,NA,NA,0
10207029417,"01",1,6112,"01230",4,1,4,4,"00000060000000","00000077000000","00000012500000","00000006000000","0",2.38e+08,82500000
10224035017,"01",1,7316,"73100",5,2,8,6,"0","00000090000000","00000006000000","00000002000000","00000003000000",3.89e+08,2.88e+08
10224035020,"01",1,5224,"47212",5,2,10,6,"0","00000648000000","00000008000000","00000016800000","00000001900000",9.72e+08,297300000
10224035020,"01",1,6112,"01270",5,1,1,1,"00000007000000","00000010000000","0","0","0",4e+07,2.3e+07
10221034214,"01",1,5224,"47213",5,2,8,6,"0","00001300000000","00000036000000","00000015000000","00000006000000",1.8e+09,4.43e+08
10221034220,"01",1,5224,"47590",5,2,8,6,"0","00000360000000","00000004500000","00000027000000","0",4.8e+08,88500000
10215032226,"01",1,5224,"47710",5,2,11,6,"0","00000600000000","0","00000276000000","0",1.41e+09,5.34e+08
10210031029,"02",2,2431,"73100",4,2,NA,NA,"00000576000000","00024000000000","0","00000240000000","0",2.5216e+10,4e+08
10205028620,"01",1,5224,"47710",5,2,11,6,"0","00000600000000","0","00000145000000","0",8.7e+08,1.25e+08
10214031817,"01",1,5224,"47410",4,2,9,6,"00000130000000","00002650000000","00000021500000","00000150000000","00000004500000",3.485e+09,5.29e+08
10214031826,"01",1,7114,"43900",5,2,10,5,"0","00000045000000","00000012000000","00000005000000","0",3.87e+08,3.25e+08
10214031826,"03",1,7412,"43220",5,2,9,6,"0","00000265000000","00000024000000","00000098500000","0",662500000,2.75e+08
10312044826,"01",1,7522,"31000",5,2,8,6,"0","00000090000000","00000020000000","00000128000000","0",4.5e+08,2.12e+08
10312044820,"01",1,5224,"47610",5,2,8,6,"0","00000050000000","00000006000000","00000015000000","00000001000000",1.2e+08,4.8e+07
10303040329,"01",1,3321,"66220",5,2,8,6,"0","0","0","00000224000000","00000003600000",947600000,7.2e+08
10303040326,"01",1,7536,"15200",5,2,8,6,"0","0","0","00000080000000","0",3e+08,2.2e+08
10325047826,"01",1,6112,"01240",5,1,9,7,"0","00000013000000","0","00000005000000","0",6.8e+07,5e+07
10325047814,"01",1,5224,"47211",5,2,11,7,"0","00000200000000","0","00000076000000","00000001000000",4.58e+08,1.81e+08
10303040314,"01",1,8322,"49230",5,2,8,6,"0","00000025000000","0","00000006000000","0",2e+08,1.69e+08
10303040318,"01",1,7225,"25920",5,2,9,7,"0","00000120000000","00000025000000","00000048000000","0",7.93e+08,6e+08
10320046317,"01",1,7234,"95290",5,2,9,6,"0","00000024000000","00000010000000","00000012000000","0",2.4e+08,1.94e+08
10303041826,"02",1,7318,"13931",5,2,5,6,"0","00000007000000","0","0","0",3e+07,2.3e+07
10320046324,"02",1,1321,"10303",4,2,9,6,"00000432000000","00000360000000","00000042000000","00000060000000","0",1.344e+09,4.5e+08
10303038923,"01",1,5224,"47590",5,2,8,6,"0","00000300000000","00000000100000","00000020000000","00000020000000",460100000,1.2e+08
10307043429,"01",1,8332,"49230",5,2,8,6,"0","00000200000000","00000000500000","00000100000000","00000010000000",790500000,4.8e+08
10321046814,"01",1,7318,"13931",5,2,10,7,"0","00000035000000","0","0","0",2.35e+08,2e+08
10321046814,"02",1,7318,"13931",6,2,10,7,"0","0","0","0","0",0,0
10321046817,"01",1,7318,"13931",5,2,10,6,"0","00000130000000","0","0","0",3e+08,1.7e+08
10321046817,"02",1,7318,"13931",6,2,8,6,"0","0","0","0","0",0,0
10321046829,"01",1,7318,"13931",5,2,4,7,"0","00000030000000","0","0","0",9e+07,6e+07
10303036523,"01",1,5224,"47710",5,2,8,6,"0","00000200000000","00000000500000","00000002000000","0",382500000,1.8e+08
10303036520,"01",1,6112,"01250",5,1,6,3,"0","00000008700000","0","00000002250000","0",2e+07,9050000
10305042429,"01",1,3431,"74200",5,2,9,6,"0","00000150000000","00000001000000","00000140000000","00000003500000",654500000,3.6e+08
10305042423,"01",1,5224,"47510",5,2,10,6,"0","00000500000000","00000001000000","00000190000000","00000005000000",1.056e+09,3.6e+08
10303036529,"01",1,6111,"01130",5,1,6,5,"0","00000004500000","0","00000010000000","0",5e+07,35500000
10303036529,"03",1,6111,"01130",6,1,4,5,"0","0","0","0","0",0,0
10305042420,"01",1,8322,"49220",5,2,8,6,"0","00000070000000","00000000500000","00000015000000","0",205500000,1.2e+08
10302036021,"01",1,5224,"47212",5,2,12,7,"0","00001200000000","0","00000011000000","0",1.5e+09,2.89e+08
10302036014,"01",1,8322,"49220",5,2,12,7,"0","00000020000000","0","00000005200000","0",169200000,1.44e+08
