"Address","MahMorajeh","ShoghlSarparast","NoeKhn","Takmil","TakmilDescA","TakmilDescB","TakmilDescC","Jaygozin","JaygozinDescA","JaygozinDescB","JaygozinDescC","BlkAbdJaygozin","RadifJaygozin","fStat","fEnt","fvfy","user1","user2","user3","user4","Tekrari"
2000101018,"03","كارگر داربست پالايشگاه",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,76,0,"Admin",NA,"Admin","Admin",1
2000101012,"03",NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,5,1,0,"Admin",NA,NA,"Admin",NA
2000041011,"03",NA,NA,2,NA,3,NA,2,NA,3,NA,NA,NA,5,1,0,"Admin",NA,NA,"Admin",NA
2000005061,"03",NA,NA,2,NA,4,NA,2,NA,4,NA,NA,NA,5,1,0,"Admin",NA,NA,"Admin",NA
2000093019,"04","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,265,1,"Admin",NA,"Admin",NA,NA
2000093010,"04","زارعتكار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,144,0,"Admin",NA,"Admin","Admin",NA
2000093016,"04","باغدار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,148,1,"Admin",NA,"Admin","Admin",NA
2000093008,"04","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,220,1,"Admin",NA,"Admin",NA,NA
2000093014,"04","كشاورز",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,55,0,"Admin",NA,"Admin",NA,NA
2000057170,"04","فروشنده",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,138,1,"Admin",NA,"Admin","Admin",NA
2000057168,"04","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,50,0,"Admin",NA,"Admin",NA,NA
2000057158,"04","كارگر گاوداري",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,166,1,"Admin",NA,"Admin",NA,1
2000057164,"04","راننده تاكسي",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,84,0,"Admin",NA,"Admin","Admin",NA
2000057162,"04","زارع",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,166,1,"Admin",NA,"Admin","Admin",NA
2000069150,"04","كارگر ساختمان",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,231,1,"Admin",NA,"Admin",NA,NA
2000101021,"03","فروشنده لوازوالتحرير",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,77,0,"Admin",NA,"Admin",NA,NA
2000069157,"02","ازكار افتاده",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,256,1,"Admin",NA,"Admin","Admin",NA
2000069161,"04","توليد امپول",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,115,1,"Admin",NA,"Admin",NA,NA
2000141158,"04","گندم  كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,103,0,"Admin",NA,"Admin","Admin",NA
2000141151,"04","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,202,1,"Admin",NA,"Admin","Admin",NA
2000141162,"04","زراعت كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,138,1,"Admin",NA,"Admin","Admin",NA
2000141155,"04","زراعت كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,233,1,"Admin",NA,"Admin","Admin",NA
2000141164,"04","زارع",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,103,0,"Admin",NA,"Admin",NA,NA
2000105234,"04","درامد بدون كار",1,2,NA,1,NA,1,NA,NA,NA,"000062","233",4,205,1,"Admin",NA,"Admin",NA,NA
2000105228,"04","فروشنده دوره گرد",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,209,1,"Admin",NA,"Admin","Admin",NA
2000105236,"04","كارگر كشاورزي",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,190,1,"Admin",NA,"Admin","Admin",NA
2000105231,"04","درامد بدون كار",1,2,NA,1,NA,1,NA,NA,NA,"000062","230",5,59,0,"Admin",NA,"Admin","Admin",NA
2000081299,"04",NA,NA,2,NA,3,NA,2,NA,2,NA,NA,NA,5,1,0,"Admin",NA,NA,"Admin",NA
2000105223,"04",NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,5,1,0,"Admin",NA,NA,"Admin",NA
2000117060,"04","كارگر ساختمان",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,74,0,"Admin",NA,"Admin","Admin",NA
2000117056,"04","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,105,1,"Admin",NA,"Admin","Admin",NA
2000117065,"04","درامد بدون كار",1,2,NA,2,NA,1,NA,NA,NA,"005325","067",4,37,0,"Admin",NA,"Admin",NA,NA
2000033064,"04","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,49,0,"Admin",NA,"Admin",NA,NA
