"Address","MahMorajeh","NeshaniSarparast","NameSarparast","ShoghlSarparast","NoeKhn","Takmil","TakmilDesc","Jaygozin","JaygozinDesc","BlkAbdJaygozin","RadifJaygozin","fStat","fEnt","fvfy","user1","user2","user3","user4"
1270049001,"04",NA,NA,"خانه دار",1,1,NA,2,NA,NA,NA,3,761,0,"Admin",NA,"Admin",NA
1270049002,"04",NA,NA,"کارگر کارخانه روغن",1,1,NA,2,NA,NA,NA,4,741,0,"Admin",NA,"Admin",NA
1270061003,"04",NA,NA,"زراعتکار",1,1,NA,2,NA,NA,NA,3,836,0,"Admin",NA,"Admin",NA
1270065001,"02",NA,NA,"مربي",1,1,NA,2,NA,NA,NA,4,915,0,"Admin",NA,"Admin",NA
1270065002,"02",NA,NA,"کاردان بهداشت خانواده",1,1,NA,2,NA,NA,NA,3,1081,0,"Admin",NA,"Admin",NA
1270065003,"02",NA,NA,"بيکار",1,1,NA,2,NA,NA,NA,3,770,0,"Admin",NA,"Admin",NA
1270065005,"02",NA,NA,"خريد و فروش آهن",1,1,NA,2,NA,NA,NA,3,771,0,"Admin",NA,"Admin",NA
1270149001,"04",NA,NA,"درامد بدون کار",1,1,NA,1,"مکان مخروبه شده","000006","006",3,294,0,"Admin",NA,"Admin",NA
1270149002,"04",NA,NA,"مرغ فروشي",1,1,NA,2,NA,NA,NA,4,697,0,"Admin",NA,"Admin",NA
1270149003,"04",NA,NA,"دلندالکتريک",1,1,NA,2,NA,NA,NA,3,636,0,"Admin",NA,"Admin",NA
1270149004,"04",NA,NA,"بنا",1,1,NA,2,NA,NA,NA,4,701,1,"Admin",NA,"Admin",NA
1270069005,"03",NA,NA,"داراي درامد بدون کار",1,1,NA,2,NA,NA,NA,4,367,0,"Admin",NA,"Admin",NA
1270149005,"04",NA,NA,"سرپرست قسمت برق کارخانه دلند الکتريک",1,1,NA,2,NA,NA,NA,4,905,0,"Admin",NA,"Admin",NA
1270069004,"03",NA,NA,"داراي درامد بدون کار",1,1,NA,2,NA,NA,NA,3,988,0,"Admin",NA,"Admin",NA
1270069001,"03",NA,NA,"زراعتکار",1,1,NA,2,NA,NA,NA,4,1174,2,"Admin",NA,"Admin",NA
1270069002,"03",NA,NA,"درامد بدون کار",1,1,NA,1,"عدم شناسايي خانوارنمونه","000009","006",3,918,0,"Admin",NA,"Admin",NA
1270069003,"03",NA,NA,"تلفنچي آژانس",1,1,NA,2,NA,NA,NA,4,905,1,"Admin",NA,"Admin",NA
1270081001,"04",NA,NA,"کارمند سازمان تعاوني و روستايي",1,1,NA,2,NA,NA,NA,3,1201,1,"Admin",NA,"Admin",NA
1270081002,"04",NA,NA,"فرمانداري",1,1,NA,2,NA,NA,NA,3,985,0,"Admin",NA,"Admin",NA
1270081003,"04",NA,NA,"داراي درامد بدون کار",1,1,NA,2,NA,NA,NA,4,823,0,"Admin",NA,"Admin",NA
1270081004,"04",NA,NA,"آبدارچي شرکت تعاوني فرهنگيان",1,1,NA,2,NA,NA,NA,3,661,0,"Admin",NA,"Admin",NA
