"Address","DYCOL01","DYCOL02","DYCOL03","DYCOL04","DYCOL05","DYCOL06","DYCOL07","DYCOL08","DYCOL09","DYCOL10","DYCOL11","DYCOL12","DYCOL13","DYCOL14","DYCOL15","DYCOL16","DYCOL17","DYCOL18","DYCOL19","DYCOL20","DYCOL21","DYCOL22","DYCOL23","DYCOL24","DYCOL25","DYCOL26","DYCOL27","DYCOL28","DYCOL29","DYCOL30","DYCOL31","DYCOL32","DYCOL33","DYCOL34","DYCOL35","DYCOL36"
100032041,5,"03","160",3,"01",1,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10"
100032042,1,"05","210",3,"01",1,NA,1,1,1,NA,1,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,"03","10"
100032043,3,"03","160",1,NA,1,NA,NA,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,"03","10"
100032044,6,"03","160",1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10"
100012006,1,"03","070",1,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10"
100012007,3,"02","070",3,"01",NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,"03","10"
100012025,1,"02","055",3,"01",NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,"03","10"
100012038,1,"04","125",3,"01",NA,NA,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10"
100062070,3,"02","028",3,"01",NA,NA,1,1,1,NA,1,1,NA,NA,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10"
100062068,6,"02","045",3,"07",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,"03","10"
100062069,1,"04","095",3,"01",1,NA,NA,1,1,NA,1,1,NA,NA,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10"
100062067,1,"03","078",3,"01",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10"
100062066,1,"06","240",3,"01",1,NA,1,1,1,NA,1,1,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,"03","10"
